[SLM] resuming from existing checkpoint: /Users/ravindrasingh/Documents/AI-Agents/PikuAI/pikuai-gaurdrails/models/piku-slm-guardrail-smollm2-135m/pytorch_model.bin
[SLM] training start: device=mps train_rows=79520 dev_rows=9933 batch_size=2 max_length=128 freeze_backbone=True resume_if_available=True
[SLM] epoch 1/1 start
[SLM] epoch 1 batch 8175/39760 loss=2.1585
[SLM] epoch 1 batch 8200/39760 loss=2.9799
[SLM] epoch 1 batch 8225/39760 loss=3.5817
[SLM] epoch 1 batch 8250/39760 loss=3.5085
[SLM] epoch 1 batch 8275/39760 loss=6.9623
[SLM] epoch 1 batch 8300/39760 loss=2.8526
[SLM] epoch 1 batch 8325/39760 loss=3.0674
[SLM] epoch 1 batch 8350/39760 loss=6.5432
[SLM] epoch 1 batch 8375/39760 loss=3.1441
[SLM] epoch 1 batch 8400/39760 loss=5.5097
[SLM] epoch 1 batch 8425/39760 loss=4.3358
[SLM] epoch 1 batch 8450/39760 loss=2.3367
[SLM] epoch 1 batch 8475/39760 loss=2.8257
[SLM] epoch 1 batch 8500/39760 loss=5.0045
[SLM] epoch 1 batch 8525/39760 loss=2.0905
[SLM] epoch 1 batch 8550/39760 loss=5.0525
[SLM] epoch 1 batch 8575/39760 loss=2.6773
[SLM] epoch 1 batch 8600/39760 loss=2.8623
[SLM] epoch 1 batch 8625/39760 loss=4.4186
[SLM] epoch 1 batch 8650/39760 loss=3.1609
[SLM] epoch 1 batch 8675/39760 loss=2.4906
[SLM] epoch 1 batch 8700/39760 loss=3.5317
[SLM] epoch 1 batch 8725/39760 loss=2.8886
[SLM] epoch 1 batch 8750/39760 loss=3.4403
[SLM] epoch 1 batch 8775/39760 loss=6.5637
[SLM] epoch 1 batch 8800/39760 loss=5.6892
[SLM] epoch 1 batch 8825/39760 loss=2.0759
[SLM] epoch 1 batch 8850/39760 loss=2.3414
[SLM] epoch 1 batch 8875/39760 loss=2.7183
[SLM] epoch 1 batch 8900/39760 loss=2.2034
[SLM] epoch 1 batch 8925/39760 loss=2.4657
[SLM] epoch 1 batch 8950/39760 loss=2.2532
[SLM] epoch 1 batch 8975/39760 loss=2.3342
[SLM] epoch 1 batch 9000/39760 loss=3.1899
[SLM] epoch 1 batch 9025/39760 loss=3.2415
[SLM] epoch 1 batch 9050/39760 loss=2.8132
[SLM] epoch 1 batch 9075/39760 loss=2.6050
[SLM] epoch 1 batch 9100/39760 loss=3.2988
[SLM] epoch 1 batch 9125/39760 loss=4.9631
[SLM] epoch 1 batch 9150/39760 loss=6.8410
[SLM] epoch 1 batch 9175/39760 loss=6.9250
[SLM] epoch 1 batch 9200/39760 loss=2.9195
[SLM] epoch 1 batch 9225/39760 loss=3.1408
[SLM] epoch 1 batch 9250/39760 loss=12.8312
[SLM] epoch 1 batch 9275/39760 loss=6.5061
[SLM] epoch 1 batch 9300/39760 loss=6.2073
[SLM] epoch 1 batch 9325/39760 loss=2.3597
[SLM] epoch 1 batch 9350/39760 loss=2.3462
[SLM] epoch 1 batch 9375/39760 loss=4.2957
[SLM] epoch 1 batch 9400/39760 loss=3.0187
[SLM] epoch 1 batch 9425/39760 loss=1.7660
[SLM] epoch 1 batch 9450/39760 loss=2.7583
[SLM] epoch 1 batch 9475/39760 loss=1.9322
[SLM] epoch 1 batch 9500/39760 loss=4.6072
[SLM] epoch 1 batch 9525/39760 loss=2.4087
[SLM] epoch 1 batch 9550/39760 loss=2.2236
[SLM] epoch 1 batch 9575/39760 loss=2.8615
[SLM] epoch 1 batch 9600/39760 loss=2.2172
[SLM] epoch 1 batch 9625/39760 loss=2.4712
[SLM] epoch 1 batch 9650/39760 loss=2.7819
[SLM] epoch 1 batch 9675/39760 loss=7.2532
[SLM] epoch 1 batch 9700/39760 loss=3.6358
[SLM] epoch 1 batch 9725/39760 loss=2.4066
[SLM] epoch 1 batch 9750/39760 loss=3.2563
[SLM] epoch 1 batch 9775/39760 loss=9.2495
[SLM] epoch 1 batch 9800/39760 loss=2.7456
[SLM] epoch 1 batch 9825/39760 loss=2.9813
[SLM] epoch 1 batch 9850/39760 loss=3.5849
[SLM] epoch 1 batch 9875/39760 loss=2.3441
[SLM] epoch 1 batch 9900/39760 loss=3.7587
[SLM] epoch 1 batch 9925/39760 loss=16.3383
[SLM] epoch 1 batch 9950/39760 loss=3.2936
[SLM] epoch 1 batch 9975/39760 loss=2.0559
[SLM] epoch 1 batch 10000/39760 loss=5.4939
[SLM] epoch 1 batch 10025/39760 loss=3.2752
[SLM] epoch 1 batch 10050/39760 loss=5.1409
[SLM] epoch 1 batch 10075/39760 loss=3.7772
[SLM] epoch 1 batch 10100/39760 loss=5.5765
[SLM] epoch 1 batch 10125/39760 loss=1.8583
[SLM] epoch 1 batch 10150/39760 loss=3.1111
[SLM] epoch 1 batch 10175/39760 loss=3.4556
[SLM] epoch 1 batch 10200/39760 loss=3.7218
[SLM] epoch 1 batch 10225/39760 loss=5.6238
[SLM] epoch 1 batch 10250/39760 loss=2.5669
[SLM] epoch 1 batch 10275/39760 loss=3.7604
[SLM] epoch 1 batch 10300/39760 loss=2.3429
[SLM] epoch 1 batch 10325/39760 loss=2.2988
[SLM] epoch 1 batch 10350/39760 loss=6.7399
[SLM] epoch 1 batch 10375/39760 loss=7.2519
[SLM] epoch 1 batch 10400/39760 loss=3.4427
[SLM] epoch 1 batch 10425/39760 loss=8.6866
[SLM] epoch 1 batch 10450/39760 loss=3.9655
[SLM] epoch 1 batch 10475/39760 loss=1.9351
[SLM] epoch 1 batch 10500/39760 loss=2.0640
[SLM] epoch 1 batch 10525/39760 loss=4.0514
[SLM] epoch 1 batch 10550/39760 loss=1.9365
[SLM] epoch 1 batch 10575/39760 loss=6.0222
[SLM] epoch 1 batch 10600/39760 loss=2.6147
[SLM] epoch 1 batch 10625/39760 loss=8.5782
